id,kanji,en,category,k2e_correct,k2e_total,k2e_percentage
357,"市","shi,city","general",13,18,0.7222222222222222
358,"売る","uru,sell","verbs",11,13,0.8461538461538461
359,"電気","denki,electricity","general",15,17,0.8823529411764706
360,"中止","chuushi,cancel","general",13,14,0.9285714285714286
361,"大きさ","ookisa,size","general",10,12,0.8333333333333334
362,"出発","shuppatsu,departure","general",11,13,0.8461538461538461
363,"高い","takai,expensive,high","adjectives",15,17,0.8823529411764706
364,"公園","kouen,park","general",11,13,0.8461538461538461
365,"久しぶり","long time no see,hisashiburi","general",11,13,0.8461538461538461
366,"友人","friend,yuujin","general",8,12,0.6666666666666666
367,"島","island,shima","general",13,15,0.8666666666666667
368,"登る","noboru,climb","verbs",13,14,0.9285714285714286
369,"買う","kau,buy","verbs",11,12,0.9166666666666666
370,"お待たせしました","omataseshimashita,thanks for waiting","general",12,14,0.8571428571428571
371,"自然","nature,shizen","nature",12,14,0.8571428571428571
372,"玉ねぎ","tamanegi,onion","vegetables",13,14,0.9285714285714286
373,"名人","meijin,master","general",9,12,0.75
374,"頼み","tanomi,request","general",8,13,0.6153846153846154
375,"そうかと言って","soukatoitte,but,still","general",11,12,0.9166666666666666
376,"住んでいる","sundeiru,live","verbs",11,13,0.8461538461538461
377,"未来","mirai,future","general",13,14,0.9285714285714286
378,"社会学","shakaigaku,sociology","general",12,13,0.9230769230769231
379,"そこら辺","sokorahen,hereabouts","general",11,12,0.9166666666666666
380,"上手","jouzu,skillful","adjectives",14,15,0.9333333333333333
381,"中国","chuugoku,china","place",13,14,0.9285714285714286
382,"傘","kasa,umbrella","general",11,12,0.9166666666666666
383,"山口","yamaguchi","place",12,13,0.9230769230769231
384,"出会う","deau,meet","verbs",11,12,0.9166666666666666
385,"何と言っても","nantoittemo,after all","general",12,13,0.9230769230769231
386,"犬","dog,inu","animal",11,12,0.9166666666666666
387,"花火","firework,hanabi","general",20,35,0.5714285714285714
388,"ご飯","cooked rice,rice,gohan","food",12,14,0.8571428571428571
389,"見る","miru,look,see","verbs",11,12,0.9166666666666666
390,"店員","tenin,clerk,employee","general",12,13,0.9230769230769231
391,"穴","ana,hole","general",12,13,0.9230769230769231
392,"入る","hairu,enter","verbs",16,17,0.9411764705882353
393,"立つ","tatsu,stand","verbs",14,15,0.9333333333333333
394,"全","zen,all","general",12,13,0.9230769230769231
395,"午前","am,gozen","time",11,13,0.8461538461538461
396,"婦","yome,wife","family",9,12,0.75
397,"長野","Nagano","place",12,14,0.8571428571428571
398,"上げる","increase,ageru","verbs",11,12,0.9166666666666666
399,"工場","koujou,factory","general",11,13,0.8461538461538461
400,"北","kita,north","general",11,12,0.9166666666666666
401,"召し上がる","meshiagaru,eat","verbs",13,15,0.8666666666666667
402,"気分","feeling,kibun","general",12,13,0.9230769230769231
403,"学校","gakkou,school","general",12,13,0.9230769230769231
404,"思う","omou,think","verbs",12,13,0.9230769230769231
405,"日記","nikki,diary","general",11,12,0.9166666666666666
406,"読む","yomu,read","verbs",10,12,0.8333333333333334
407,"人","hito,man,nin,jin","general",11,12,0.9166666666666666
408,"調べる","shiraberu,investigate","verbs",15,17,0.8823529411764706
409,"止める","stop,tomeru","verbs",16,17,0.9411764705882353
410,"米","kome,rice","food",15,17,0.8823529411764706
411,"奨学金","shougakukin,scholarship","general",12,13,0.9230769230769231
412,"大阪","osaka","city",11,14,0.7857142857142857
413,"思い出す","remember","verbs",15,16,0.9375
414,"強さ","strength,tsuyosa","general",15,16,0.9375
415,"週","week,shuu","general",13,16,0.8125
416,"車","kuruma,car","vehicle",15,16,0.9375
417,"話す","hanasu,talk","verbs",12,13,0.9230769230769231
418,"気づく","notice,kitzuku","verbs",14,15,0.9333333333333333
419,"王","ou,king","general",14,16,0.875
420,"川","kawa,river","general",17,18,0.9444444444444444
421,"二子玉川","futakotamagawa","place",14,14,1
422,"友達","friend,tomodachi","general",14,14,1
423,"名前","name,namae,onamae","general",13,13,1
424,"困った","komatta,troubled","general",12,12,1
425,"大学","university,daigaku","general",13,13,1
426,"気がつく","kigatsuku,notice","verbs",12,12,1
427,"聞く","kiku,hear,listen","verbs",15,15,1
428,"開ける","open,akeru","verbs",11,12,0.9166666666666666
429,"広い","hiroi,wide","general",15,15,1
430,"駅","eki,station","general",14,14,1
431,"人気","ninki,popular","adjectives",14,14,1
432,"危ない","abunai,dangerous","general",14,14,1
433,"友","friend,tomodachi","general",14,14,1
434,"合わせて","awasete,in total","general",16,16,1
435,"国","kuni,country","country",15,15,1
436,"恋愛","renai,love","general",14,14,1
437,"日本","nihon,japan","country",16,16,1
438,"最大","saidai,biggest","general",11,14,0.7857142857142857
439,"自分","myself,jibun","general",15,15,1
440,"赤ちゃん","akachan,baby","adjectives",15,15,1
441,"電話","phone,denwa","general",12,14,0.8571428571428571
442,"食べる","taberu,eat","general",14,14,1
443,"行く","iku,go","verbs",16,16,1
444,"田","field,ta","nature",14,14,1
445,"関する","kansuru,related","general",14,14,1
446,"分かる","understand,wakaru","verbs",15,15,1
447,"持って来る","mottekuru,bring","verbs",19,19,1
448,"本気","seriously,honki","general",14,14,1
449,"豆","mame","food",15,15,1
